timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666063024527,104,Webstaurant Product Page-30,200,OK,Main Thread Group 1-1,bin,true,,1935,174,1,1,https://www.webstaurantstore.com/images/site/certifications/ETL_Sanitation.JPG,104,0,0
1666063024631,49,Webstaurant Product Page-31,200,OK,Main Thread Group 1-1,bin,true,,14080,181,1,1,https://cdnimg.webstaurantstore.com/uploads/design/2017/9/webstaurant-logo-w-icon.png,46,0,0
1666063024680,94,Webstaurant Product Page-32,200,OK,Main Thread Group 1-1,text,true,,549207,163,1,1,https://www.webstaurantstore.com/build/main.4a0f9d859aa53314f9bb.js,63,0,0
1666063024774,57,Webstaurant Product Page-33,200,OK,Main Thread Group 1-1,text,true,,58562,188,1,1,https://www.webstaurantstore.com/build/vendors~sentry-browser.39622cf2ed212372154b.bundle.js,55,0,0
1666063024831,46,Webstaurant Product Page-34,200,OK,Main Thread Group 1-1,text,true,,1555,185,1,1,https://www.webstaurantstore.com/build/start-error-logging.6db6266b2fa8546d3d5f.bundle.js,46,0,0
1666063024877,85,Webstaurant Product Page-35,200,OK,Main Thread Group 1-1,text,true,,948215,182,1,1,https://www.webstaurantstore.com/build/preModule/mainPreModule.8619cd86ddde9959969d.js,50,0,0
1666063024962,175,Webstaurant Product Page-36,200,OK,Main Thread Group 1-1,text,true,,42783,155,1,1,https://www.googleadservices.com/pagead/conversion_async.js,143,0,104
1666063032088,2971,Webstaurant Product Page,200,OK,Main Thread Group 1-1,text,true,,2392763,6287,1,1,https://www.webstaurantstore.com/outlet/178CBE84HC/58345.html,218,0,0
1666063032088,239,Webstaurant Product Page-0,200,OK,Main Thread Group 1-1,text,true,,235180,157,1,1,https://www.webstaurantstore.com/outlet/178CBE84HC/58345.html,218,0,0
1666063032329,58,Webstaurant Product Page-1,200,OK,Main Thread Group 1-1,text,true,,135215,173,1,1,https://www.webstaurantstore.com/build/tailwind.3642.ecb9112ee3c1a0124d2a.css,54,0,0
1666063032387,57,Webstaurant Product Page-2,200,OK,Main Thread Group 1-1,text,true,,1385,177,1,1,https://www.webstaurantstore.com/build/styles-text-fonts.218b11e9fc2db029dcc1.css,57,0,0
1666063032445,52,Webstaurant Product Page-3,200,OK,Main Thread Group 1-1,text,true,,4246,177,1,1,https://www.webstaurantstore.com/build/styles-icon-fonts.e8d2eefdf5b557eb497b.css,52,0,0
1666063032497,82,Webstaurant Product Page-4,200,OK,Main Thread Group 1-1,text,true,,73398,187,1,1,https://www.webstaurantstore.com/build/common-critical-styles.2845.0eeeb8c199f0d0dcd617.css,79,0,0
1666063032579,48,Webstaurant Product Page-5,200,OK,Main Thread Group 1-1,text,true,,177709,188,1,1,https://www.webstaurantstore.com/build/product-critical-styles.3687.e60a9b56199fffc0387b.css,44,0,0
1666063032627,51,Webstaurant Product Page-6,200,OK,Main Thread Group 1-1,text,true,,17648,180,1,1,https://www.webstaurantstore.com/build/product-reviews.8267.985631c01ace606a761d.css,50,0,0
1666063032678,73,Webstaurant Product Page-7,200,OK,Main Thread Group 1-1,text,true,,38736,189,1,1,https://www.webstaurantstore.com/build/preModule/synchronousPolyfills.0a8186328e6857116571.js,72,0,0
1666063032751,43,Webstaurant Product Page-8,200,OK,Main Thread Group 1-1,bin,true,,6768,184,1,1,https://cdnimg.webstaurantstore.com/uploads/design/2016/2/android-chrome-192x192.png?v=1,42,0,0
1666063032794,43,Webstaurant Product Page-9,200,OK,Main Thread Group 1-1,bin,true,,2002,169,1,1,https://cdnimg.webstaurantstore.com/uploads/design/2016/2/favicon.ico?v=1,43,0,0
1666063032837,59,Webstaurant Product Page-10,200,OK,Main Thread Group 1-1,text,true,,9307,178,1,1,https://www.webstaurantstore.com/build/files/de4034208c84ec8447fa.rewards-card.svg,59,0,0
1666063032896,112,Webstaurant Product Page-11,200,OK,Main Thread Group 1-1,bin,true,,25681,165,1,1,https://www.webstaurantstore.com/images/outlet/large/58345/274139.jpg,111,0,0
1666063033008,54,Webstaurant Product Page-12,200,OK,Main Thread Group 1-1,bin,true,,1106,188,1,1,https://www.webstaurantstore.com/uploads/design/2022/2/pdp-gallery-placeholder-white-600.png,54,0,0
1666063033062,95,Webstaurant Product Page-13,200,OK,Main Thread Group 1-1,bin,true,,2424,170,1,1,https://www.webstaurantstore.com/images/outlet/thumbnails/58345/274139.jpg,95,0,0
1666063033157,39,Webstaurant Product Page-14,200,OK,Main Thread Group 1-1,bin,true,,3371,170,1,1,https://cdnimg.webstaurantstore.com/uploads/design/2018/9/ar-thumbnail.png,38,0,0
1666063033196,83,Webstaurant Product Page-15,200,OK,Main Thread Group 1-1,bin,true,,2229,170,1,1,https://www.webstaurantstore.com/images/outlet/thumbnails/58345/274141.jpg,83,0,0
1666063033279,195,Webstaurant Product Page-16,200,OK,Main Thread Group 1-1,bin,true,,2955,170,1,1,https://www.webstaurantstore.com/images/outlet/thumbnails/58345/274143.jpg,195,0,0
1666063033474,193,Webstaurant Product Page-17,200,OK,Main Thread Group 1-1,bin,true,,2755,170,1,1,https://www.webstaurantstore.com/images/outlet/thumbnails/58345/274145.jpg,193,0,0
1666063033667,86,Webstaurant Product Page-18,200,OK,Main Thread Group 1-1,bin,true,,3147,170,1,1,https://www.webstaurantstore.com/images/outlet/thumbnails/58345/274147.jpg,86,0,0
1666063033754,90,Webstaurant Product Page-19,200,OK,Main Thread Group 1-1,bin,true,,2727,170,1,1,https://www.webstaurantstore.com/images/outlet/thumbnails/58345/274149.jpg,90,0,0
1666063033844,104,Webstaurant Product Page-20,200,OK,Main Thread Group 1-1,bin,true,,2976,170,1,1,https://www.webstaurantstore.com/images/outlet/thumbnails/58345/274151.jpg,104,0,0
1666063033948,84,Webstaurant Product Page-21,200,OK,Main Thread Group 1-1,bin,true,,2859,170,1,1,https://www.webstaurantstore.com/images/outlet/thumbnails/58345/274153.jpg,84,0,0
1666063034032,103,Webstaurant Product Page-22,200,OK,Main Thread Group 1-1,bin,true,,3082,170,1,1,https://www.webstaurantstore.com/images/outlet/thumbnails/58345/274155.jpg,103,0,0
1666063034135,47,Webstaurant Product Page-23,200,OK,Main Thread Group 1-1,text,true,,3125,170,1,1,https://www.webstaurantstore.com/uploads/design/2018/7/quickship-badge.svg,47,0,0
1666063034182,136,Webstaurant Product Page-24,200,OK,Main Thread Group 1-1,bin,true,,9651,191,1,1,https://www.webstaurantstore.com/images/vendor/medium/20220719/avantcorefrigeration_logo_hr.jpg,136,0,0
1666063034318,54,Webstaurant Product Page-25,200,OK,Main Thread Group 1-1,bin,true,,1034,181,1,1,https://www.webstaurantstore.com/build/files/4fbcd8c51dafd28f6671.placeholder-img.png,54,0,0
1666063034372,48,Webstaurant Product Page-26,200,OK,Main Thread Group 1-1,bin,true,,1316,175,1,1,https://www.webstaurantstore.com/uploads/design/2018/7/prop-65-warning-icon.png,48,0,0
1666063034420,141,Webstaurant Product Page-27,200,OK,Main Thread Group 1-1,bin,true,,2313,160,1,1,https://www.webstaurantstore.com/images/site/nema_plugs/5-15.jpg,141,0,0
1666063034561,54,Webstaurant Product Page-28,200,OK,Main Thread Group 1-1,bin,true,,1936,174,1,1,https://www.webstaurantstore.com/images/site/certifications/ETL_Sanitation.JPG,54,0,0
1666063034615,103,Webstaurant Product Page-29,200,OK,Main Thread Group 1-1,bin,true,,2017,170,1,1,https://www.webstaurantstore.com/images/site/certifications/ETL_Safety.JPG,103,0,0
1666063034718,47,Webstaurant Product Page-30,200,OK,Main Thread Group 1-1,bin,true,,14080,181,1,1,https://cdnimg.webstaurantstore.com/uploads/design/2017/9/webstaurant-logo-w-icon.png,45,0,0
1666063034765,54,Webstaurant Product Page-31,200,OK,Main Thread Group 1-1,text,true,,549210,163,1,1,https://www.webstaurantstore.com/build/main.4a0f9d859aa53314f9bb.js,46,0,0
1666063034819,60,Webstaurant Product Page-32,200,OK,Main Thread Group 1-1,text,true,,58562,188,1,1,https://www.webstaurantstore.com/build/vendors~sentry-browser.39622cf2ed212372154b.bundle.js,58,0,0
1666063034879,49,Webstaurant Product Page-33,200,OK,Main Thread Group 1-1,text,true,,1552,185,1,1,https://www.webstaurantstore.com/build/start-error-logging.6db6266b2fa8546d3d5f.bundle.js,49,0,0
1666063034928,70,Webstaurant Product Page-34,200,OK,Main Thread Group 1-1,text,true,,948278,182,1,1,https://www.webstaurantstore.com/build/preModule/mainPreModule.8619cd86ddde9959969d.js,55,0,0
1666063034999,60,Webstaurant Product Page-35,200,OK,Main Thread Group 1-1,text,true,,42783,155,1,1,https://www.googleadservices.com/pagead/conversion_async.js,44,0,0
1666063044088,3224,Webstaurant Product Page,200,OK,Main Thread Group 1-1,text,true,,2419411,6693,1,1,https://www.webstaurantstore.com/outlet/177CAG48TG/55077.html,270,0,0
1666063044088,277,Webstaurant Product Page-0,200,OK,Main Thread Group 1-1,text,true,,258229,157,1,1,https://www.webstaurantstore.com/outlet/177CAG48TG/55077.html,270,0,0
1666063044367,47,Webstaurant Product Page-1,200,OK,Main Thread Group 1-1,text,true,,135215,173,1,1,https://www.webstaurantstore.com/build/tailwind.3642.ecb9112ee3c1a0124d2a.css,44,0,0
1666063044414,53,Webstaurant Product Page-2,200,OK,Main Thread Group 1-1,text,true,,1385,177,1,1,https://www.webstaurantstore.com/build/styles-text-fonts.218b11e9fc2db029dcc1.css,53,0,0
1666063044467,53,Webstaurant Product Page-3,200,OK,Main Thread Group 1-1,text,true,,4246,177,1,1,https://www.webstaurantstore.com/build/styles-icon-fonts.e8d2eefdf5b557eb497b.css,53,0,0
1666063044520,60,Webstaurant Product Page-4,200,OK,Main Thread Group 1-1,text,true,,73398,187,1,1,https://www.webstaurantstore.com/build/common-critical-styles.2845.0eeeb8c199f0d0dcd617.css,57,0,0
